time,CH4_ppm
00:00:05,6
00:00:10,7
00:00:15,7
00:00:20,7
00:00:25,7
00:00:30,7
00:00:35,7
00:00:40,7
00:00:45,7
00:00:50,7
00:00:55,7
00:01:00,7
00:01:05,7
00:01:10,8
00:01:15,8
00:01:20,8
00:01:25,8
00:01:30,8
00:01:35,8
00:01:40,8
00:01:45,8
00:01:50,8
00:01:55,8
00:02:00,8
00:02:05,8
00:02:10,8
00:02:15,8
00:02:20,8
00:02:25,8
00:02:30,8
00:02:35,8
00:02:40,8
00:02:45,8
00:02:50,8
00:02:55,8
00:03:00,8
00:03:05,8
00:03:10,8
00:03:15,8
00:03:20,8
00:03:25,9
00:03:30,8
00:03:35,9
00:03:40,8
00:03:45,8
00:03:50,8
00:03:55,9
00:04:00,9
00:04:05,9
00:04:10,9
00:04:15,9
00:04:20,9
00:04:25,9
00:04:30,9
00:04:35,9
00:04:40,9
00:04:45,9
00:04:50,9
00:04:55,9
00:05:00,9
00:05:05,9
00:05:10,9
00:05:15,9
00:05:20,9
00:05:25,9
00:05:30,9
00:05:35,9
00:05:40,9
00:05:45,9
00:05:50,9
00:05:55,9
00:06:00,9
00:06:05,9
00:06:10,9
00:06:15,9
00:06:20,9
00:06:25,9
00:06:30,9
00:06:35,9
00:06:40,9
00:06:45,9
00:06:50,9
00:06:55,9
00:07:00,9
00:07:05,9
00:07:10,9
00:07:15,9
00:07:20,9
00:07:25,9
00:07:30,9
00:07:35,9
00:07:40,9
00:07:45,9
00:07:50,9
00:07:55,9
00:08:00,9
00:08:05,9
00:08:10,9
00:08:15,9
00:08:20,9
00:08:25,9
00:08:30,9
00:08:35,9
00:08:40,9
00:08:45,9
00:08:50,9
00:08:55,9
00:09:00,9
00:09:05,9
00:09:10,9
00:09:15,9
00:09:20,9
00:09:25,9
00:09:30,9
00:09:35,9
00:09:40,9
00:09:45,9
00:09:50,9
00:09:55,9
00:10:00,9
00:10:05,9
00:10:10,9
00:10:15,10
00:10:20,9
00:10:25,9
00:10:30,9
00:10:35,9
00:10:40,9
00:10:45,9
00:10:50,9
00:10:55,9
00:11:00,9
00:11:05,9
00:11:10,9
00:11:15,9
00:11:20,9
00:11:25,9
00:11:30,9
00:11:35,9
00:11:40,9
00:11:45,9
00:11:50,9
00:11:55,9
00:12:00,9
00:12:05,9
00:12:10,9
00:12:15,9
00:12:20,9
00:12:25,9
00:12:30,9
00:12:35,9
00:12:40,9
00:12:45,9
00:12:50,9
00:12:55,9
00:13:00,9
00:13:05,9
00:13:10,9
00:13:15,10
00:13:20,9
00:13:25,9
00:13:30,9
00:13:35,9
00:13:40,9
00:13:45,9
00:13:50,9
00:13:55,9
00:14:00,9
00:14:05,10
00:14:10,9
00:14:15,10
00:14:20,9
00:14:25,10
00:14:30,10
00:14:35,10
00:14:40,10
00:14:45,10
00:14:50,10
00:14:55,10
00:15:00,10
00:15:05,10
00:15:10,10
00:15:15,10
00:15:20,10
00:15:25,10
00:15:30,10
00:15:35,10
00:15:40,10
00:15:45,10
00:15:50,10
00:15:55,10
00:16:00,10
00:16:05,10
00:16:10,10
00:16:15,10
00:16:20,10
00:16:25,10
00:16:30,10
00:16:35,10
00:16:40,10
00:16:45,10
00:16:50,10
00:16:55,10
00:17:00,10
00:17:05,10
00:17:10,10
00:17:15,10
00:17:20,10
00:17:25,10
00:17:30,10
00:17:35,10
00:17:40,10
00:17:45,10
00:17:50,10
00:17:55,10
00:18:00,10
00:18:05,10
00:18:10,10
00:18:15,10
00:18:20,10
00:18:25,10
00:18:30,10
00:18:35,10
00:18:40,10
00:18:45,10
00:18:50,10
00:18:55,10
00:19:00,10
00:19:05,10
00:19:10,10
00:19:15,10
00:19:20,10
00:19:25,10
00:19:30,10
00:19:35,10
00:19:40,10
00:19:45,10
00:19:50,10
00:19:55,10
00:20:00,10
00:20:05,10
00:20:10,10
00:20:15,10
00:20:20,10
00:20:25,10
00:20:30,10
00:20:35,10
00:20:40,10
00:20:45,10
00:20:50,10
00:20:55,10
00:21:00,10
00:21:05,10
00:21:10,10
00:21:15,10
00:21:20,10
00:21:25,10
00:21:30,10
00:21:35,10
00:21:40,10
00:21:45,10
00:21:50,10
00:21:55,10
00:22:00,10
00:22:05,10
00:22:10,10
00:22:15,10
00:22:20,10
00:22:25,10
00:22:30,10
00:22:35,10
00:22:40,10
00:22:45,10
00:22:50,10
00:22:55,10
00:23:00,10
00:23:05,10
00:23:10,10
00:23:15,10
00:23:20,10
00:23:25,10
00:23:30,10
00:23:35,10
00:23:40,10
00:23:45,10
00:23:50,10
00:23:55,10
00:24:00,10
00:24:05,10
00:24:10,10
00:24:15,10
00:24:20,10
00:24:25,10
00:24:30,10
00:24:35,10
00:24:40,10
00:24:45,10
00:24:50,10
00:24:55,10
00:25:00,10
00:25:05,10
00:25:10,10
00:25:15,10
00:25:20,10
00:25:25,10
00:25:30,10
00:25:35,10
00:25:40,10
00:25:45,10
00:25:50,10
00:25:55,10
00:26:00,10
00:26:05,10
00:26:10,10
00:26:15,10
00:26:20,10
00:26:25,10
00:26:30,10
00:26:35,10
00:26:40,10
00:26:45,10
00:26:50,10
00:26:55,10
00:27:00,10
00:27:05,10
00:27:10,10
00:27:15,10
00:27:20,10
00:27:25,10
00:27:30,10
00:27:35,10
00:27:40,10
00:27:45,10
00:27:50,10
00:27:55,10
00:28:00,10
00:28:05,10
00:28:10,10
00:28:15,10
00:28:20,10
00:28:25,10
00:28:30,10
00:28:35,10
00:28:40,10
00:28:45,10
00:28:50,10
00:28:55,10
00:29:00,10
00:29:05,10
00:29:10,10
00:29:15,10
00:29:20,10
